Year,Team
2014,Royals
2014,Athletics
2014,Pirates
2014,Giants
2015,Astros
2015,Yankees
2015,Cubs
2015,Pirates
2016,Orioles
2016,Blue Jays
2016,Mets
2016,Giants
2017,Twins
2017,Yankees
2017,Diamondbacks
2017,Rockies
2018,Yankees
2018,Athletics
2018,Cubs
2018,Rockies
2019,Athletics
2019,Rays
2019,Brewers
2019,Nationals
2020,White Sox
2020,Blue Jays
2020,Reds
2020,Brewers
2021,Red Sox
2021,Yankees
2021,Dodgers
2021,Cardinals
2022,Mariners
2022,Rays
2022,Blue Jays
2022,Mets
2022,Phillies
2022,Padres
2023,Rays
2023,Rangers
2023,Blue Jays
2023,Diamondbacks
2023,Marlins
2023,Phillies
2024,Orioles
2024,Tigers
2024,Royals
2024,Braves
2024,Mets
2024,Padres
2025,Red Sox
2025,Tigers
2025,Yankees
2025,Cubs
2025,Reds
2025,Padres
